character,COM,CON,ECO,FAM,LEI,PER,REL,WRK
burns,0.09,0.22666666666666666,0.14666666666666667,0.06333333333333334,0.15666666666666668,0.14333333333333334,0.013333333333333334,0.16
ned,0.13333333333333333,0.06333333333333334,0.08666666666666667,0.22,0.1,0.1,0.24666666666666667,0.05
skinner,0.06333333333333334,0.09333333333333334,0.07666666666666666,0.09,0.07333333333333333,0.07666666666666666,0.0033333333333333335,0.5233333333333333
