character,COM,CON,ECO,FAM,LEI,PER,REL,WRK
burns,0.08536206360716876,0.2189992748368383,0.14679374287786182,0.06205324769501709,0.16554439034497048,0.1373666217756138,0.015021236921164405,0.16885942194136538
ned,0.13515868077162416,0.05774735532047293,0.08301182327317984,0.21456129433727442,0.09757311761045426,0.09819539514623522,0.26384567517112634,0.04990665836963286
skinner,0.06814038286235187,0.0969690063810392,0.07258432087511395,0.08865086599817684,0.07144484958979033,0.0788514129443938,0.0033044667274384687,0.5200546946216955
